ligne1,ligne3,ligne2_droite,ligne2_gauche,composition,ean
Angèle & Alexandre,LILAC ,36-41,3701328379485,"78%Coton Organique 20% Polyamide 2% Elasthanne 
78% Organic cotton 20% Polyamide 2% Elastane
",3701328379485
Catherine & Mathieu,ORANGE,36-41,3701328380450,"78%Coton Organique 20% Polyamide 2% Elasthanne 
78% Organic cotton 20% Polyamide 2% Elastane
",3701328380450
Deborah & Reda,NAVY,36-41,3701328381341,"78%Coton Organique 20% Polyamide 2% Elasthanne 
78% Organic cotton 20% Polyamide 2% Elastane
",3701328381341
Maiwenn & Killian,NAVY,36-41,3701328378914,"78%Coton Organique 20% Polyamide 2% Elasthanne 
78% Organic cotton 20% Polyamide 2% Elastane
",3701328378914
Mariame & Aurélien,GREEN,36-41,3701328378105,"78%Coton Organique 20% Polyamide 2% Elasthanne 
78% Organic cotton 20% Polyamide 2% Elastane
",3701328378105